"","Arbol","Bloque","Longitud","Latitud","X_UTM","Y_UTM","Altitud","AltRan","Fungicida","Nutrimento","Rep","Muestreo","DDA","Anio","AcicR","Abs","TotalAc","Inc","Sevmed","Sevmin","Sevmax","LonBrot","indcol","Afmed","Afmax","Afmin","Aftotal","CA","RA","Color","trat","ABCPEIC"
"285",15,"Alta",-97.99085,19.722488,605750.3759,2181086.607,2973.2,"Baja",3,1,2,3,91,2017,74,0,74,0,0,0,0,5.1,0,0.281666667,0.316,0.196,8.45,0,100,1,31,0
"286",16,"Alta",-97.99083,19.72246,605752.4903,2181083.521,2973.3,"Baja",2,3,2,3,91,2017,98,0,98,0,0,0,0,8.5,0,0.3349,0.37,0.27,10.047,0,100,1,23,0
"287",17,"Alta",-97.99077,19.722294,605758.8875,2181065.187,2978.5,"Baja",1,1,2,3,91,2017,106,0,106,0,0,0,0,6.4,0,0.269933333,0.3,0.234,8.098,0,100,1,11,0
"288",18,"Alta",-97.99089,19.722174,605746.3904,2181051.832,2979.5,"Baja",3,3,2,3,91,2017,116,1,117,0.033333333,0,0,0,8.1,0,0.268066667,0.304,0.222,8.042,0.854700855,99.14529915,1,33,0
"289",19,"Media",-97.99092,19.722073,605743.3129,2181040.635,2980.2,"Baja",1,3,1,3,91,2017,94,0,94,0,0,0,0,8.3,0,0.318433333,0.368,0.242,9.553,0,100,1,13,0
"290",20,"Media",-97.991,19.722105,605734.9078,2181044.127,2980.2,"Baja",3,1,1,3,91,2017,126,0,126,0,0,0,0,10,0,0.2717,0.316,0.203,8.151,0,100,1,31,0
"291",21,"Media",-97.991005,19.72215,605734.3542,2181049.104,2979.7,"Baja",3,2,1,3,91,2017,120,0,120,0.533333333,0.030666667,0,0.103333333,10.1,1.635555556,0.2814,0.328,0.219,8.442,0,100,1,32,22.89777778
"292",22,"Media",-97.991005,19.722137,605734.3628,2181047.665,2979.8,"Baja",3,3,1,3,91,2017,104,0,104,0,0,0,0,8,0,0.400033333,0.484,0.294,12.001,0,100,1,33,0
"293",23,"Media",-97.990944,19.722,605740.8457,2181032.541,2979.4,"Baja",1,2,1,3,91,2017,78,0,78,0,0,0,0,6.3,0,0.184433333,0.218,0.146,5.533,0,100,1,12,0
"294",24,"Media",-97.99107,19.722033,605727.6192,2181036.115,2979.4,"Baja",1,3,2,3,91,2017,108,0,108,0,0,0,0,7.4,0,0.3725,0.425,0.299,11.175,0,100,2,13,0
"295",25,"Media",-97.99106,19.722012,605728.681,2181033.797,2978.5,"Baja",2,2,1,3,91,2017,113,0,113,0.033333333,0,0,0,6.7,0,0.185533333,0.218,0.147,5.566,0,100,2,22,0
"296",26,"Media",-97.991005,19.721899,605734.5193,2181021.326,2992.1,"Alta",3,1,2,3,91,2017,99,0,99,0,0,0,0,9.7,0,0.2959,0.327,0.247,8.877,0,100,1,31,0
"297",27,"Media",-97.99094,19.721846,605741.3662,2181015.501,2992.9,"Alta",3,3,2,3,91,2017,99,0,99,0.1,0.006666667,0,0.066666667,7.6,0.066666667,0.364866667,0.413,0.26,10.946,0,100,1,33,0.933333338
"298",28,"Media",-97.99108,19.721786,605726.7336,2181008.773,2973.5,"Baja",2,1,1,3,91,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0
"299",29,"Media",-97.99113,19.72174,605721.5238,2181003.652,2990.9,"Alta",3,2,2,3,91,2017,144,0,144,0,0,0,0,10.5,0,0.469933333,0.574,0.344,14.098,0,100,1,32,0
"300",30,"Media",-97.99119,19.721704,605715.2595,2180999.63,2990.6,"Alta",2,3,1,3,91,2017,102,0,102,0,0,0,0,7.1,0,0.370433333,0.42,0.269,11.113,0,100,1,23,0
"301",31,"Media",-97.99122,19.721703,605712.1161,2180999.501,2973.4,"Baja",2,1,2,3,91,2017,100,0,100,0.033333333,0,0,0,7.4,0,0.370633333,0.438,0.293,11.119,0,100,2,21,0
"302",32,"Media",-97.99122,19.721727,605712.1003,2181002.157,2991.1,"Alta",2,2,2,3,91,2017,90,0,90,0,0,0,0,6,0,0.3453,0.421,0.273,10.359,0,100,1,22,0
"303",33,"Media",-97.99124,19.721853,605709.9215,2181016.089,2991.4,"Alta",1,1,1,3,91,2017,169,0,169,0,0,0,0,11.8,0,0.2541,0.289,0.218,7.623,0,100,1,11,0
"304",34,"Media",-97.99115,19.721848,605719.3568,2181015.591,2991.8,"Alta",1,1,2,3,91,2017,49,0,49,0.166666667,0,0,0,4.1,0,0.166333333,0.209,0.124,4.99,0,100,2,11,0
"305",35,"Media",-97.99109,19.72179,605725.683,2181009.21,2992.5,"Alta",1,2,2,3,91,2017,106,2,108,0,0,0,0,6,0,0.309166667,0.333,0.263,9.275,1.851851852,98.14814815,1,12,0
"306",36,"Media",-97.991066,19.721827,605728.1738,2181013.32,2992.4,"Alta",2,3,2,3,91,2017,122,0,122,0.233333333,0.004,0,0.03,12.6,0.093333333,0.397266667,0.441,0.284,11.918,0,100,1,23,1.306666662
"307",37,"Baja",-97.99091,19.721998,605744.4102,2181032.341,2975.7,"Baja",1,2,1,3,91,2017,106,0,106,0,0,0,0,7.5,0,0.255433333,0.278,0.221,7.663,0,100,2,12,0
"308",38,"Baja",-97.990944,19.722048,605740.8141,2181037.854,2980.1,"Baja",2,3,1,3,91,2017,111,0,111,0.033333333,0,0,0,6.2,0,0.4312,0.526,0.266,12.936,0,100,1,23,0
"309",39,"Baja",-97.99095,19.722046,605740.1866,2181037.629,2979.6,"Baja",1,3,1,3,91,2017,119,0,119,0,0,0,0,12.7,0,0.381766667,0.426,0.321,11.453,0,100,1,13,0
"310",40,"Baja",-97.99097,19.722048,605738.0893,2181037.837,2979.8,"Baja",3,2,1,3,91,2017,102,0,102,0,0,0,0,8.1,0,0.2896,0.362,0.21,8.688,0,100,2,32,0
"311",41,"Baja",-97.99103,19.722061,605731.7927,2181039.239,2979,"Baja",2,2,1,3,91,2017,126,5,131,0,0,0,0,10.3,0,0.418266667,0.488,0.324,12.548,3.816793893,96.18320611,1,22,0
"312",42,"Baja",-97.991035,19.721966,605731.3312,2181028.722,2978.7,"Baja",3,1,1,3,91,2017,117,0,117,0.033333333,0,0,0,9.1,0,0.2541,0.289,0.218,7.623,0,100,1,31,0
"313",43,"Baja",-97.991005,19.721928,605734.5002,2181024.535,2994.3,"Alta",2,3,2,3,91,2017,117,0,117,0,0,0,0,10,0,0.469233333,0.539,0.308,14.077,0,100,2,23,0
"314",44,"Baja",-97.9911,19.721972,605724.5153,2181029.346,2993.3,"Alta",3,1,2,3,91,2017,141,0,141,0,0,0,0,11.7,0,0.396933333,0.451,0.339,11.908,0,100,1,31,0
"315",45,"Baja",-97.99106,19.721975,605728.7053,2181029.703,2974.3,"Baja",1,2,2,3,91,2017,96,0,96,0,0,0,0,7.8,0,0.311966667,0.368,0.252,9.359,0,100,2,12,0
"316",46,"Baja",-97.99094,19.721899,605741.3313,2181021.366,2994.3,"Alta",3,3,1,3,91,2017,91,0,91,0,0,0,0,7.2,0,0.410633333,0.461,0.351,12.319,0,100,2,33,0
"317",47,"Baja",-97.99078,19.722218,605757.8895,2181056.77,2980,"Baja",1,1,1,3,91,2017,89,0,89,0.066666667,0.005666667,0,0.056666667,7.1,0.037777778,0.305366667,0.395,0.248,9.161,0,100,1,11,0.528888892
"318",48,"Baja",-97.99102,19.721884,605732.9572,2181019.656,2992.2,"Alta",2,1,1,3,91,2017,99,0,99,0,0,0,0,7.5,0,0.237833333,0.295,0.154,7.135,0,100,1,21,0
"319",49,"Baja",-97.99102,19.722069,605732.8355,2181040.13,2979.8,"Baja",3,3,2,3,91,2017,124,2,126,0,0,0,0,7,0,0.294833333,0.327,0.245,8.845,1.587301587,98.41269841,2,33,0
"320",50,"Baja",-97.991165,19.72181,605717.8098,2181011.377,2991.9,"Alta",2,2,2,3,91,2017,116,0,116,0.2,0.004666667,0,0.03,9.1,0.093333333,0.362133333,0.425,0.247,10.864,0,100,1,22,1.306666662
"321",51,"Baja",-97.991165,19.721642,605717.9203,2180992.784,2990.9,"Alta",1,1,2,3,91,2017,84,0,84,0.066666667,0,0,0,4.6,0,0.2405,0.268,0.194,7.215,0,100,1,11,0
