"","Anio","Bloque","X_UTM","Y_UTM","Altitud","Inc","Sevmed","LonBrot","Afmed","CA","RA","Color"
"101",2017,"Baja",605757.8895,2181056.77,2980,0,0,6.9,0.270433333,0,100,2
"102",2017,"Baja",605732.9572,2181019.656,2992.2,0.066666667,0.001,10.5,0.290966667,1.342281879,98.65771812,2
"103",2017,"Baja",605732.8355,2181040.13,2979.8,0.133333333,0.002,8.55,0.3078,2.803738318,97.19626168,2
"104",2017,"Baja",605717.8098,2181011.377,2991.9,0,0,7.65,0.380533333,0,100,2
"105",2017,"Baja",605717.9203,2180992.784,2990.9,0.333333333,0.002333333,10.35,0.332933333,0.78125,99.21875,2
"106",2017,"Baja",605727.9204,2180985.428,2990.7,0,0,9.45,0.2751,0,100,2
"107",2017,"Baja",605731.0032,2180995.739,2990.9,0.066666667,0.000333333,11.3,0.342633333,3.75,96.25,2
"108",2017,"Baja",605707.4543,2181007.995,2991,0.533333333,0.007333333,13.55,0.4199,1.449275362,98.55072464,2
"109",2016,"Alta",605747.8559,2181069.77,2979.3,0.766666667,0.184666667,5,0.160233333,1.136363636,98.86363636,2
"110",2016,"Alta",605744.2655,2181056.689,2979.3,0.6,0.269333333,4.9,0.174766667,9.523809524,90.47619048,2
"111",2016,"Alta",605740.1774,2181039.178,2979.5,0.966666667,0.275666667,5.7,0.2586,17.44186047,82.55813953,2
"112",2016,"Alta",605754.4645,2181033.508,2980,0.966666667,0.136666667,11.4,0.378033333,12.5,87.5,2
"113",2016,"Alta",605742.3524,2181025.91,2984.3,0.966666667,0.157,9.5,0.310833333,32.78688525,67.21311475,2
"114",2016,"Alta",605727.7112,2181020.621,2992.3,0.5,0.081,9.5,0.247433333,13.68421053,86.31578947,1
"115",2016,"Alta",605724.2519,2181003.114,2990.8,0.9,0.199333333,6,0.223466667,2.777777778,97.22222222,1
"116",2016,"Alta",605737.9319,2180993.788,2991,0.9,0.298333333,5.6,0.355666667,7.692307692,92.30769231,2
"117",2016,"Alta",605724.6902,2180999.907,2991.2,0.866666667,0.222666667,10.3,0.351866667,11.66666667,88.33333333,2
"118",2016,"Alta",605721.5199,2181004.316,2990.9,0.6,0.057333333,8,0.372733333,4.166666667,95.83333333,1
"119",2016,"Alta",605723.5856,2181009.419,2991.1,0.833333333,0.118,9,0.303333333,6.711409396,93.2885906,2
